Path,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL_to_IME,55468.03894,49968.39615,54700.61606,54636.38991,59220.09349,-1696273.276,-1852542.573,-1851121.667,-1704242.484,59275.05727,60509.87136,61371.53682
HL_to_JL,1118137.526,949117.4733,1000812.191,938863.1981,927027.7238,920080.5791,989874.056,1021436.527,926130.3843,1018512.937,1113987.33,1154420.075
IME_to_JL,-96612.23881,-113661.4574,-95109.34526,-85233.77427,-79308.43167,226201.4115,243360.1076,251119.7274,227688.7535,-97692.18691,-112429.5775,-118202.9882
IME_to_LN,3562879.661,2970667.866,3332593.937,3145339.487,3218611.492,3238222.728,3470355.93,3567527.319,3289878.232,3398619.83,3663032.98,3834820.538
JL_to_LN,1690424.959,1988735.246,1664128.821,1491335.893,1387660.135,1374368.372,1438168.838,1414243.663,1430193.779,1709320.818,1967181.035,2068198.439
IME_to_SD,0,0,0,0,0,0,0,0,0,0,0,0
LN_to_JB,1741476.301,1480254.856,1554658.687,1523565.514,1547483.34,1720887.578,1924189.099,1948106.925,1848847.947,1775898.578,1769919.121,1847652.056
