region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL,580.24,493.20,704.45,805.08,1084.63,670.90,570.27,614.99,670.90,983.99,805.08,816.26
IME,1636.62,1391.13,1855.06,2072.42,2360.53,1531.57,1374.87,1263.67,1218.18,1799.46,2158.35,1925.83
JL,384.52,326.84,347.41,587.28,628.64,512.84,496.30,512.84,595.56,760.99,760.99,785.80
LN,606.60,515.61,1133.11,1579.81,1797.72,1231.17,773.56,729.98,947.89,1307.43,1133.11,1144.00
