region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL,0.00,0.00,0.00,0.00,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
IME,0.00,0.00,0.00,0.00,223.10,233.77,249.65,275.24,302.21,265.01,200.53,209.29
JL,0.00,0.00,0.00,0.00,31.28,34.43,39.75,34.24,28.83,64.21,30.71,36.55
LN,0.00,0.00,0.00,0.00,0.00,73.20,75.78,64.05,65.57,53.02,40.70,27.68
