region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL,7532.205405,6402.374595,6849.04,5931.42,5051.64,5373.28,5855.74,6082.78,5344.9,6442.26,7359.88,7615.3
IME,6494.722703,5520.514297,6607.263,6659.406,6706.583,6892.808,7463.898,7568.184,6733.896,6855.563,6897.774,7193.251
JL,6326.486486,5377.513514,5092,3876,3249,3372.5,3752.5,3952,3629,4569.5,5633.5,6023
LN,12586.25946,10698.32054,10554.77,9243.92,9175.95,10554.77,12389.96,12710.39,12118.08,11496.64,11380.12,12496.77
