region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL,6799.69,5779.41,6345.50,5641.33,5760.01,6092.32,6559.13,6036.93,5269.46,5886.60,6472.10,6883.53
IME,7842.21,6665.88,6891.08,6858.63,6777.49,7275.12,8380.36,8164.00,7316.59,7294.95,6927.14,7592.45
JL,6253.32,5314.66,5169.26,4373.99,4627.80,4746.24,5448.45,4602.41,4069.41,4695.48,5516.13,6455.22
LN,12618.86,10726.03,11383.47,9224.22,10651.68,11528.02,13235.54,13054.85,10199.95,9576.57,10480.02,12314.02
