region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HL,338.23,270.58,382.30,385.03,396.16,663.25,514.94,404.45,417.79,505.93,334.28,507.06
IME,411.07,328.85,417.81,446.54,484.47,464.63,445.54,440.54,400.50,418.33,372.51,370.04
JL,346.64,277.32,586.67,475.22,526.78,501.89,467.85,405.41,421.23,460.19,323.24,437.55
LN,485.45,388.36,508.50,541.31,526.89,484.38,435.54,474.58,419.95,453.04,370.42,421.58
