year,epsilon,n_members,fraction,loss_min,cutoff
2016,0.05,53,0.00265,0.010433791733957167,0.010955481320655026
2016,0.1,260,0.013,0.010433791733957167,0.011477170907352886
2016,0.2,1569,0.07845,0.010433791733957167,0.0125205500807486
2016,0.3,3415,0.17075,0.010433791733957167,0.013563929254144317
2021,0.05,859,0.04295,0.00710584661017041,0.0074611389406789306
2021,0.1,3420,0.171,0.00710584661017041,0.007816431271187451
2021,0.2,7041,0.35205,0.00710584661017041,0.008527015932204491
2021,0.3,9676,0.4838,0.00710584661017041,0.009237600593221533
