year,epsilon,parameter,n_members,minimum,q25,median,q75,maximum,normalized_iqr
2016,0.05,CHP_NonRetrofitted_Min_Power_300-660,53,0.6277973950450204,0.6727326138695617,0.7048459761684512,0.727308662111704,0.7490512676687503,0.12128010720476054
2016,0.05,CHP_NonRetrofitted_Min_Power_0-300,53,0.6101870510596917,0.6796724029791779,0.7051998773032783,0.7352323024155709,0.7463941310986165,0.12346644319198458
2016,0.05,MLT_Band,53,0.05002384933927045,0.05342724655886662,0.05705489155973566,0.060573064539815064,0.07644196177569357,0.020416622802709845
2016,0.1,CHP_NonRetrofitted_Min_Power_300-660,260,0.5006030496523984,0.6326918936439203,0.6773448862496283,0.7192610233138532,0.7490512676687503,0.19237584371096203
2016,0.1,CHP_NonRetrofitted_Min_Power_0-300,260,0.4770728593670176,0.6206980850876029,0.6689575564884408,0.7144778426641195,0.748358337076815,0.20839946128114797
2016,0.1,MLT_Band,260,0.05001456911784778,0.05446022203123482,0.06009649609537762,0.06812682004911816,0.09544754132556432,0.0390474229082381
2016,0.2,CHP_NonRetrofitted_Min_Power_300-660,1569,0.30049181976985045,0.5054774293357489,0.6068212645624488,0.6832350575265675,0.7498374380876436,0.3950169515351526
2016,0.2,CHP_NonRetrofitted_Min_Power_0-300,1569,0.3017050286908805,0.5063448575146459,0.6074371235338532,0.6765447488063367,0.7499521094780119,0.378221980648202
2016,0.2,MLT_Band,1569,0.05001456911784778,0.05763489915707378,0.06692828746002437,0.08029202671501637,0.13138544974424818,0.06473465016555024
2016,0.3,CHP_NonRetrofitted_Min_Power_300-660,3415,0.30014045452388144,0.45739530274616735,0.5724834174372155,0.6697005083611729,0.7498374380876436,0.4717893458111235
2016,0.3,CHP_NonRetrofitted_Min_Power_0-300,3415,0.3003178414621061,0.45151318925950823,0.5683841777409067,0.6640459694690849,0.7499762581714604,0.47229506713239267
2016,0.3,MLT_Band,3415,0.05001456911784778,0.06494798562152294,0.08018293508914212,0.09775448233385313,0.1776475987304264,0.0937328477495148
2021,0.05,Coal_Retrofitted_Min_Power_300-660,859,0.31857562576814524,0.5403797360841922,0.6267495926738954,0.6890137106955437,0.7499631116372363,0.330297721358559
2021,0.05,Coal_Retrofitted_Min_Power_0-300,859,0.3003677740558306,0.44527632827076674,0.5647228587189173,0.6681652782711334,0.7496589205328867,0.49530877777859256
2021,0.05,Coal_Retrofitted_Time_0-300,859,2.0034003033401744,3.3370623767815184,4.3380227799818805,5.241765117604823,5.99662791497944,0.4761756852058261
2021,0.05,CHP_NonRetrofitted_Min_Power_300-660,859,0.3093055094205675,0.4631002316962139,0.5299879533877736,0.6619574536881083,0.7497583063401475,0.4419049377597654
2021,0.05,CHP_NonRetrofitted_Min_Power_0-300,859,0.3005021781405984,0.4256759706174516,0.533070002771214,0.639165142627996,0.7497315084194635,0.47442038224565414
2021,0.05,MLT_Band,859,0.050014093180034094,0.05586959334718737,0.06264050100093213,0.07240276435226725,0.11292598087424659,0.04723763144308537
2021,0.1,Coal_Retrofitted_Min_Power_300-660,3420,0.30007883763772003,0.44586902779899196,0.5588712203094324,0.6585728117465985,0.7499631116372363,0.4726750754391258
