year,parameter,fold,log_length_scale,length_scale,upper_bound,hit_threshold,hit_upper_bound,total_hits,retained
2016,Coal_Retrofitted_Min_Power_660-1000,1,3.999999999995489,54.59815003289794,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_660-1000,1,3.999999999994448,54.59815003284111,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_300-660,1,3.9999999999961404,54.59815003293351,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_300-660,1,3.9999999999946723,54.598150032853354,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_0-300,1,3.9999999999930744,54.598150032766114,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_0-300,1,3.9999999999921108,54.5981500327135,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_660-1000,1,3.999999999994891,54.598150032865306,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Time_660-1000,1,3.9999999999759677,54.59815003183212,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_300-660,1,2.180694509526863,8.852452236668189,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_300-660,1,3.9999999999956803,54.59815003290839,54.598150033144236,49.40244910553017,true,4,false
2016,CHP_NonRetrofitted_Min_Power_0-300,1,2.0702259110454917,7.926613625165452,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_0-300,1,3.999999999992698,54.59815003274556,54.598150033144236,49.40244910553017,true,5,false
2016,MLT_Band,1,1.2899979059185425,3.6327789484098085,54.598150033144236,49.40244910553017,false,0,true
2016,Coal_Retrofitted_Min_Power_660-1000,2,3.999999999994546,54.59815003284647,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_660-1000,2,3.9999999999899094,54.59815003259331,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_300-660,2,3.9999999999967697,54.59815003296787,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_300-660,2,3.9999999999935207,54.598150032790485,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_0-300,2,3.99999999999539,54.59815003289253,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_0-300,2,3.9999999999829408,54.598150032212835,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_660-1000,2,3.9999999999784595,54.59815003196817,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Time_660-1000,2,3.999999999975995,54.59815003183362,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_300-660,2,2.0622011417647648,7.863258923066582,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_300-660,2,3.9999999999972213,54.59815003299253,54.598150033144236,49.40244910553017,true,4,false
2016,CHP_NonRetrofitted_Min_Power_0-300,2,2.1097082075617943,8.245834861296451,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_0-300,2,3.9999999999952722,54.59815003288611,54.598150033144236,49.40244910553017,true,5,false
2016,MLT_Band,2,1.4045922118467276,4.073865128560107,54.598150033144236,49.40244910553017,false,0,true
2016,Coal_Retrofitted_Min_Power_660-1000,3,3.999999999999086,54.59815003309434,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_660-1000,3,3.9999999999987126,54.59815003307395,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_300-660,3,3.999999999999259,54.59815003310377,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_300-660,3,3.999999999999131,54.598150033096786,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_0-300,3,3.9999999999991407,54.59815003309732,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_0-300,3,3.9999999999992877,54.59815003310535,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_660-1000,3,3.999999999999093,54.598150033094726,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Time_660-1000,3,3.9999999999979576,54.59815003303273,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_300-660,3,1.995266319493287,7.354161323630317,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_300-660,3,3.9999999999989626,54.5981500330876,54.598150033144236,49.40244910553017,true,4,false
2016,CHP_NonRetrofitted_Min_Power_0-300,3,1.990270467689183,7.3175126454213055,54.598150033144236,49.40244910553017,false,0,true
2016,CHP_NonRetrofitted_Time_0-300,3,3.9999999999992757,54.598150033104695,54.598150033144236,49.40244910553017,true,5,false
2016,MLT_Band,3,1.2593385120042024,3.523090234504261,54.598150033144236,49.40244910553017,false,0,true
2016,Coal_Retrofitted_Min_Power_660-1000,4,3.999999999999929,54.59815003314036,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_660-1000,4,3.999999999999899,54.59815003313874,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_300-660,4,3.9999999999999525,54.59815003314164,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_300-660,4,3.9999999999996834,54.59815003312695,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Min_Power_0-300,4,3.999999999999869,54.59815003313709,54.598150033144236,49.40244910553017,true,5,false
2016,Coal_Retrofitted_Time_0-300,4,3.999999999999783,54.598150033132384,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Min_Power_660-1000,4,3.999999999999863,54.59815003313677,54.598150033144236,49.40244910553017,true,5,false
2016,CHP_NonRetrofitted_Time_660-1000,4,3.999999999999907,54.59815003313917,54.598150033144236,49.40244910553017,true,5,false
