year,parameter,log_ls_fold_1,log_ls_fold_2,log_ls_fold_3,log_ls_fold_4,log_ls_fold_5,votes,retained
2016,Coal_Retrofitted_Min_Power_660-1000,3.999999999995489,3.999999999994546,3.999999999999086,3.999999999999929,3.9999999999281246,5,False
2016,Coal_Retrofitted_Time_660-1000,3.999999999994448,3.9999999999899094,3.9999999999987126,3.999999999999899,3.9999999999176095,5,False
2016,Coal_Retrofitted_Min_Power_300-660,3.9999999999961404,3.9999999999967697,3.999999999999259,3.9999999999999525,3.999999999934381,5,False
2016,Coal_Retrofitted_Time_300-660,3.9999999999946723,3.9999999999935207,3.999999999999131,3.9999999999996834,3.999999999905848,5,False
2016,Coal_Retrofitted_Min_Power_0-300,3.9999999999930744,3.99999999999539,3.9999999999991407,3.999999999999869,3.999999999915634,5,False
2016,Coal_Retrofitted_Time_0-300,3.9999999999921108,3.9999999999829408,3.9999999999992877,3.999999999999783,3.999999999877905,5,False
2016,CHP_NonRetrofitted_Min_Power_660-1000,3.999999999994891,3.9999999999784595,3.999999999999093,3.999999999999863,3.999999999910357,5,False
2016,CHP_NonRetrofitted_Time_660-1000,3.9999999999759677,3.999999999975995,3.9999999999979576,3.999999999999907,3.9999999998990305,5,False
2016,CHP_NonRetrofitted_Min_Power_300-660,2.180694509526863,2.0622011417647648,1.995266319493287,2.066058803809494,2.0624907354690962,0,True
2016,CHP_NonRetrofitted_Time_300-660,3.9999999999956803,3.9999999999972213,3.9999999999989626,3.8547871683701516,3.999999999934096,4,False
2016,CHP_NonRetrofitted_Min_Power_0-300,2.0702259110454917,2.1097082075617943,1.990270467689183,2.059822499601575,2.1683761755808177,0,True
2016,CHP_NonRetrofitted_Time_0-300,3.999999999992698,3.9999999999952722,3.9999999999992757,3.9999999999999125,3.9999999999163904,5,False
2016,MLT_Band,1.2899979059185425,1.4045922118467276,1.2593385120042024,1.3087553286702966,1.2252026348379907,0,True
2021,Coal_Retrofitted_Min_Power_660-1000,3.999999999999866,3.9999999999943854,3.9999999999999996,3.4104418738829203,3.999999999997283,4,False
2021,Coal_Retrofitted_Time_660-1000,3.999999999999858,3.9999999999808296,3.9999999999999996,3.9999999999998446,3.999999999998017,5,False
2021,Coal_Retrofitted_Min_Power_300-660,2.5238465664840533,2.6713334780938167,2.4863593477377686,2.3739993795444603,2.3903335243013766,0,True
2021,Coal_Retrofitted_Time_300-660,3.999999999999875,3.9999999999904556,3.9999999999999996,3.9999999999999036,3.999999999973723,5,False
2021,Coal_Retrofitted_Min_Power_0-300,2.7343974531831887,3.9999999999861067,2.735070978914399,3.9999999999997766,3.999999999994227,3,True
2021,Coal_Retrofitted_Time_0-300,3.9999999999997358,3.1272929015712094,2.8636880123946153,3.9999999999997717,3.020548044482869,2,True
2021,CHP_NonRetrofitted_Min_Power_660-1000,3.9999999999998868,3.999999999983453,3.9999999999999996,3.9222538811415686,3.999999999998221,5,False
2021,CHP_NonRetrofitted_Time_660-1000,3.999999999999822,3.99999999999352,3.9999999999999996,3.9999999999998863,3.99999999999824,5,False
2021,CHP_NonRetrofitted_Min_Power_300-660,2.02938328985081,2.5106465159471445,2.488597256851571,1.6484715101121958,2.1359283642767,0,True
2021,CHP_NonRetrofitted_Time_300-660,3.9999999999998903,3.9999999999911258,3.620106887153634,3.9999999999998814,3.9999999999973648,4,False
2021,CHP_NonRetrofitted_Min_Power_0-300,2.341453649896772,2.489096681693971,2.5027390371013443,2.4496421341141965,2.5097706811290803,0,True
2021,CHP_NonRetrofitted_Time_0-300,3.999999999999864,3.9999999999931806,3.9999999999999996,3.999999999999832,3.9999999999982885,5,False
2021,MLT_Band,0.8356282439084617,1.0561838256007152,0.9860042737018496,1.0916440310316389,1.163051965211846,0,True
