year,reference_total_L,representative_role,representative_original_uced_L,best_lhs_run_id,best_lhs_total_L,modeled_hours
2016,0.252527000497,medoid (S10%),0.0110883653154,61,0.010979598809,8736
2021,0.185480522683,medoid (S10%),0.00716074402387,6,0.00721232325216,8736
