year,technology,reference_nrmse,representative_nrmse,change_relative_to_reference_pct
2016,Coal,0.197927501793,0.083973955325,-57.5733768354
2016,MLT,0.964650513973,0.0757370707513,-92.1487554659
2016,Solar,0.134538831583,0.121434759928,-9.73999216463
2016,Wind,0.14926953712,0.129689364574,-13.1173264977
2021,Coal,0.223149117211,0.123232997518,-44.7754940471
2021,MLT,0.82714708494,0.0727118584104,-91.2093193902
2021,Solar,0.0360402641567,0.0361885958327,0.411572110845
2021,Wind,0.0815803987194,0.0828249696426,1.52557592591
