CHP_Retrofitted_Min_Power_300-660,CHP_Retrofitted_Min_Power_0-300,CHP_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,MLT_Band,predicted_loss,predicted_loss_lo95_lat,predicted_loss_hi95_lat,sigma_latent_std,sigma_predictive_std,in_S_0p05,in_S_0p1,in_S_0p2,in_S_0p3
0.3878341106995951,0.6011791754510637,5.554659859095063,0.47952044108969216,0.6162052521649417,0.06982437927604372,0.0073892541680412125,0.00710766645460293,0.007670841881479495,0.07761575631074327,0.07762219803438128,true,true,true,true
0.3422974345907783,0.7076674291235827,2.8326679337997174,0.556630146424539,0.56110469520176,0.33502672936991024,0.01195776279683642,0.011639867169919865,0.012275658423752974,0.08762353019502103,0.08762923623904173,false,false,false,false
0.48600610876988515,0.40201876046808366,2.873383405469189,0.4188273282630062,0.6936916073128859,0.37945521899844187,0.012864404264194393,0.01246634668035011,0.013262461848038677,0.10971906425907631,0.10972362125762775,false,false,false,false
0.4184073412807761,0.7392066727685547,4.361632975557419,0.6522370373184423,0.34582296733217416,0.22101905603220645,0.00958183124607551,0.009268635644763613,0.009895026847387406,0.08632803318085415,0.0863338248479394,false,false,false,false
0.7051725285392973,0.5297083457765721,4.75680274822353,0.34969239101699473,0.32241302849985687,0.06655238691942206,0.007504166825975676,0.006941589815880412,0.008066743836070941,0.1550665673172243,0.1550697917053714,false,true,true,true
0.5687963075938459,0.7074959618511368,3.5812025373908494,0.4817066300929469,0.5444938552778729,0.19453053435507878,0.008714186477768076,0.008442496735037375,0.008985876220498774,0.07488751766343098,0.07489419404593863,false,false,false,true
0.6018891893753389,0.7480480475154316,5.699836342609213,0.41127858448492927,0.3643605692125633,0.2370666499410134,0.009959695409103403,0.009687064724355236,0.010232326093851572,0.0751468753088292,0.075153528650894,false,false,false,false
0.6926876491742039,0.6297654901635081,2.3857394572045703,0.4396664730200462,0.717869588579547,0.14113647007029306,0.007934406613343345,0.0076593619573858615,0.008209451269300826,0.07581225306567622,0.07581884801877536,false,false,true,true
0.41561850206763673,0.3817455145286347,2.0812792109979874,0.3588749054602949,0.6457850772729087,0.1793450591206432,0.00912236768295032,0.008806331938559668,0.009438403427340975,0.08711087931571129,0.08711661893781483,false,false,false,true
0.43497209908940243,0.3875578082608908,4.131550614731914,0.5156861407815532,0.726426299969964,0.059694498145308326,0.007413414998362559,0.007156695556608406,0.007670134440116711,0.0707611613735681,0.07076822704389427,true,true,true,true
0.5985826666426601,0.5437235577773181,2.171282091202884,0.31924546741267973,0.4977094332557662,0.21686263189398058,0.00980821941429545,0.009483716295863556,0.010132722532727343,0.08944479379000489,0.0894503836556139,false,false,false,false
0.6252842853506057,0.636078579822937,5.400071368761176,0.4594756950784124,0.5452609005953026,0.0996636725522543,0.007361534423566724,0.0071553222938266605,0.007567746553306788,0.056839519788679085,0.05684831580449559,true,true,true,true
0.3349364166906599,0.38443254498015345,4.9417374510114955,0.6102284196537022,0.4224844650419164,0.18115412206369186,0.008680280690786695,0.00842189158976714,0.008938669791806252,0.07122137984362555,0.07122839986150196,false,false,false,true
0.6694555536499287,0.3781612029902444,3.768593184371115,0.6918985517385072,0.5319978319697043,0.3808688034071356,0.011715561165367396,0.01135432818637758,0.012076794144357212,0.09956887154745328,0.0995738930705899,false,false,false,false
0.5448545813408944,0.5771190239453463,2.449268483908052,0.588160840980985,0.4371049371161257,0.33677618725960523,0.011376147268774455,0.01114785797387092,0.01160443656367799,0.062924784839619,0.0629327303325731,false,false,false,false
0.4995818252058657,0.3154176233469758,3.2244318805024603,0.5922296683615277,0.679855899537205,0.23054769502967204,0.00915516968583247,0.008955624088493173,0.009354715283171767,0.05500198239069539,0.055011072221020994,false,false,false,true
0.6892272439952021,0.3927820506955442,2.96331016657722,0.6766873401098572,0.4022365164723356,0.22484269348603464,0.009165139893128301,0.008954878394054277,0.009375401392202328,0.057955672406275194,0.057964299047461185,false,false,false,true
0.37055942952480814,0.5560631269171011,2.5290861697961278,0.6908278002343512,0.5858718000325194,0.2455556219797646,0.009428426582749295,0.009165250554234849,0.009691602611263742,0.07254083016119779,0.07254772250371314,false,false,false,false
0.7258911649605119,0.49544174733285096,5.879023478160795,0.3464135550958082,0.6116713118742714,0.28427654015202103,0.010639122496070307,0.010238118534148539,0.011040126457992074,0.11053119260114397,0.11053571611850715,false,false,false,false
0.3557722042097985,0.4133358896644809,3.988892845414379,0.5363264909150551,0.32216616199513304,0.28157161834487243,0.011159731470466807,0.01094607599386473,0.011373386947068883,0.058891175342553184,0.05889966496702138,false,false,false,false
0.31182086767960393,0.3980056677838783,2.293299808705602,0.47854629944786814,0.40439540903629767,0.21971709556708974,0.009773348618545664,0.009497419517047448,0.010049277720043878,0.07605603823911786,0.0760626120550049,false,false,false,false
0.51230682301865,0.519747039554374,4.485593369343608,0.5611414651182873,0.738388394341452,0.1742339215449809,0.008383436637770641,0.008137747233055328,0.008629126042485955,0.06772088430873585,0.06772826715306694,false,false,true,true
0.30175856846829757,0.5776731380709403,2.739945320962278,0.6007499477639906,0.7308245205804367,0.05424481587240511,0.007588475421140856,0.00710136796556145,0.008075582876720262,0.13426442903974167,0.13426815298263342,false,true,true,true
0.5387886030774446,0.389714859443706,3.102745509355305,0.5023857042962265,0.5038918783670878,0.17789840943730217,0.008539144351446174,0.008279211666581566,0.008799077036310781,0.07164684736882351,0.07165382570310894,false,false,false,true
0.5640241507440038,0.5621152636653599,3.0575952842989755,0.6043673461019887,0.7119464119294445,0.2573168935284076,0.009184921668617894,0.00901079536028793,0.009359047976947858,0.047995507153368686,0.04800592366478419,false,false,false,true
0.3986777462047303,0.4543915852821101,4.091521129996318,0.4500259562259244,0.39890657015592085,0.30466171058061986,0.01165220191096825,0.011436405700316742,0.011867998121619757,0.05948123905761366,0.05948964447556404,false,false,false,false
0.31052320257049476,0.4630904753915296,2.322330269928517,0.6998787577752051,0.6470805902868835,0.24139658563400113,0.009355547884856489,0.008994736462727108,0.009716359306985868,0.09945267523280868,0.09945770262258494,false,false,false,false
0.6485697906146167,0.5217688224542463,3.1860033013285287,0.5259770114423423,0.30024289594741616,0.07343662230944599,0.007569339137176136,0.007310857740403156,0.007827820533949117,0.07124681989077397,0.07125383740226492,false,true,true,true
0.3259747115528933,0.33248483815629193,4.082540803229729,0.490450229676751,0.6926231901750947,0.0800826962906752,0.00761906283810148,0.00739594772880985,0.00784217794739311,0.0614985921813651,0.06150672191142918,false,true,true,true
0.5099579665894691,0.67951617780707,3.3513194339938117,0.5409279642850798,0.6761734405886513,0.1826671766137824,0.00854330137478831,0.008281791347052023,0.008804811402524596,0.07208162010251941,0.07208855634983927,false,false,false,true
0.7030159520709547,0.6153201087319797,2.447241682212735,0.4247870831174369,0.7388033776135194,0.22172125476809523,0.009038924473347832,0.008690942415106505,0.009386906531589159,0.09591643862291403,0.09592165135204489,false,false,false,true
0.38993973185396447,0.6891477438402978,5.024864911324189,0.40812177084435525,0.6996271169069125,0.07808011525972197,0.007554846926424228,0.00723454659555252,0.007875147257295937,0.08828635356150856,0.08829201676928507,false,true,true,true
0.7309140687761521,0.5336050255006608,4.199385684027034,0.5313788630603218,0.6149221413027535,0.279957977755786,0.00966189664909012,0.009429544861128576,0.009894248437051662,0.06404455483012865,0.06405236141930583,false,false,false,false
0.49006682595823003,0.4868662103684359,3.9536305170493007,0.7344984047816492,0.6499089922130433,0.3419149793607522,0.01081655149819469,0.010553366569686865,0.011079736426702513,0.07254328332120549,0.07255017543066807,false,false,false,false
0.3431772880699654,0.31436924909664254,2.2879406438226404,0.6916878483856188,0.44734692920180374,0.3966274106795691,0.013370395843771829,0.012977676778215052,0.013763114909328605,0.10824757557299582,0.10825219451554532,false,false,false,false
0.5675163697663943,0.5721672366197819,3.206317093999171,0.6429773503255403,0.48473347319342663,0.20067818703192675,0.008821971798167173,0.008618498695926135,0.00902544490040821,0.05608454476403404,0.056093459167615614,false,false,false,true
0.5727519517742521,0.30892251609830435,2.1792536962868074,0.4856955065844265,0.5220510673995835,0.34694418164987145,0.011779699582225626,0.011550072598579554,0.012009326565871697,0.06329350022919551,0.06330139944158576,false,false,false,false
0.39236620111770504,0.6445316138507755,5.135660713789337,0.44126130945458386,0.45584050350125804,0.3143631247389006,0.011926250167263156,0.011689001403790764,0.012163498930735548,0.06539433836034289,0.0654019838352556,false,false,false,false
0.37400731678861493,0.39273231284194016,3.106285210728954,0.42735390380180444,0.6325328796388718,0.24313242879937708,0.00996139698847662,0.009664114480599487,0.010258679496353756,0.08194180919720977,0.0819479108611803,false,false,false,false
0.6427088517636628,0.4401891974715686,3.2379163613906945,0.5799676730279821,0.351270961530529,0.07829704671421849,0.007607381205608293,0.007423546678472544,0.007791215732744042,0.0506714433149312,0.05068130984513234,false,true,true,true
0.36619431274813513,0.46843889521678117,3.736677862592316,0.481406817059465,0.4187897098541356,0.1832159332392304,0.008711163706681404,0.008496496476123907,0.0089258309372389,0.05917005131867958,0.05917850093619469,false,false,false,true
0.44422674870651324,0.6888653352144354,2.524830892603978,0.40783932119202004,0.48413484658065886,0.20415934945036035,0.009440000087802193,0.009189056155789185,0.009690944019815202,0.06916922204082741,0.06917645031174487,false,false,false,false
0.3098003944542784,0.686629064226363,2.990574748094589,0.5663278479331252,0.6444402137854376,0.14274996801264989,0.008449832082352223,0.008158162028551586,0.008741502136152862,0.08039481390189798,0.08040103296799632,false,false,true,true
0.44682311624038473,0.515804318859085,5.480486509060704,0.4962923856520499,0.5456971833333032,0.3974521295396604,0.01373574234684738,0.013440615284513485,0.014030869409181274,0.08134769046247378,0.08135383668628339,false,false,false,false
0.7380099900249459,0.6869286353876147,4.914561279171138,0.6501793295695735,0.3940997689102248,0.13345371297499553,0.007942899220721732,0.007543693524660101,0.008342104916783366,0.1100355255030382,0.11004006939624217,false,false,true,true
0.5947157093921288,0.5269038125692467,3.403771874484705,0.686658455682058,0.5727786688076917,0.08914010704173828,0.007552248545294434,0.00729142474760508,0.007813072342983788,0.07189247028683503,0.07189942478172882,false,true,true,true
0.6792388646805874,0.3819015002049129,2.926403184958609,0.5182662572469974,0.7464564045490069,0.3029617164328065,0.009841305305038326,0.009530183091722634,0.01015242751835402,0.08575653247336236,0.08576236273479687,false,false,false,false
0.42961434252312913,0.7447061796265011,3.1594202388591714,0.6308892554428982,0.5805840922459118,0.13896324859699005,0.008298515653908697,0.008006125280510833,0.008590906027306564,0.08059336003035518,0.08059956377662644,false,false,true,true
0.49874920779526405,0.3491023944187373,4.910546322842608,0.5099075819408327,0.4775557545312722,0.19029106826591674,0.008532353767105164,0.008271282797232818,0.00879342473697751,0.07196059987845548,0.07196754778973082,false,false,false,true
0.4944800651992679,0.47337992462598105,5.152363978776665,0.4522232546519618,0.664168570325818,0.2951408463914732,0.01081852700260244,0.010585823096915586,0.011051230908289293,0.06414161120814567,0.06414940598615813,false,false,false,false
0.4096722604565031,0.675920848248325,2.84708969831392,0.3709875012801612,0.611942308641097,0.14110849530636696,0.008391552898395178,0.008149473323754326,0.00863363247303603,0.06672588460522774,0.0667333775284167,false,false,true,true
0.5367349764703315,0.3681430422010674,3.4076709192217254,0.6601105116384065,0.6292856380971104,0.09820910586864293,0.007724083556040675,0.0075009124929210635,0.007947254619160286,0.06151401507970171,0.06152214277173537,false,true,true,true
0.5154721481181324,0.39312240649972957,4.715728480759403,0.7224402297650585,0.5182963873184855,0.31409445288287274,0.01067448255224663,0.010415290595465846,0.010933674509027415,0.07144267592346974,0.07144967419873896,false,false,false,false
0.5404743354413281,0.5907472861268642,4.904709974093059,0.7133463443084984,0.3154540298414835,0.26387713996321527,0.010259591190523524,0.009879291940550886,0.010639890440496163,0.10482422528532762,0.1048289950665804,false,false,false,false
0.34279070251912375,0.5790547295625474,3.0416641781190457,0.44482768066158407,0.43538962568692097,0.2570343746968949,0.010635515551815505,0.010386125751455796,0.010884905352175213,0.06874084715825694,0.06874812046910711,false,false,false,false
0.7380734758615417,0.6054402810458694,2.232216003741035,0.5760552845732669,0.6066928776441166,0.1292098216044923,0.007853508676129094,0.007489666951385024,0.008217350400873165,0.10028793621212403,0.10029292173272789,false,false,true,true
0.35852790741648777,0.5810744540678998,3.4314332495197304,0.40063470741366247,0.7303659615643368,0.23167197487901492,0.009865134105112866,0.009484542065050526,0.010245726145175205,0.10490492882162536,0.10490969493364426,false,false,false,false
