run_id,Coal_Retrofitted_Min_Power_660-1000,Coal_Retrofitted_Time_660-1000,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_300-660,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,Description,Classification
51,0.675,4.552,0.598,6.949,0.532,4.966,0.307,4.925,0.542,7.831,0.596,6.538,0.35,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
52,0.471,4.581,0.565,4.25,0.588,4.029,0.657,7.179,0.57,13.105,0.499,10.922,0.366,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
53,0.646,5.296,0.746,6.765,0.579,3.299,0.685,13.749,0.615,10.088,0.584,8.202,0.332,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
54,0.521,5.467,0.426,4.464,0.682,4.917,0.365,14.806,0.581,14.482,0.654,5.474,0.25,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
55,0.329,4.368,0.428,7.832,0.648,2.26,0.601,8.006,0.679,6.384,0.581,9.621,0.311,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
56,0.42,6.105,0.55,5.413,0.477,5.596,0.733,12.049,0.718,7.93,0.677,9.772,0.166,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
57,0.7,5.067,0.614,7.741,0.408,2.437,0.358,11.382,0.401,10.391,0.658,9.269,0.122,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
58,0.62,5.17,0.592,4.088,0.596,2.289,0.57,11.095,0.632,10.185,0.698,10.839,0.207,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
59,0.515,5.229,0.624,4.751,0.614,4.061,0.573,12.81,0.384,14.316,0.524,8.9,0.382,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
60,0.406,7.61,0.456,5.565,0.39,2.788,0.693,5.05,0.475,14.147,0.428,9.125,0.347,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
61,0.436,4.941,0.479,6.521,0.328,4.595,0.485,10.468,0.75,11.16,0.57,5.597,0.05,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
62,0.302,5.397,0.707,5.862,0.558,5.491,0.724,4.6,0.412,7.502,0.397,8.337,0.208,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
63,0.422,6.309,0.568,6.402,0.674,4.665,0.602,7.671,0.415,15.909,0.311,6.764,0.392,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
64,0.451,5.034,0.705,5.45,0.522,4.173,0.395,8.772,0.573,5.887,0.33,8.739,0.073,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
65,0.443,4.615,0.511,6.196,0.333,3.61,0.443,4.764,0.52,9.711,0.405,5.1,0.283,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
66,0.383,7.856,0.367,6.092,0.475,4.921,0.376,5.17,0.578,12.641,0.335,8.032,0.218,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
67,0.494,7.318,0.559,6.656,0.369,2.587,0.353,4.119,0.723,13.174,0.358,5.744,0.091,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
68,0.399,5.719,0.624,7.063,0.556,4.412,0.552,5.531,0.647,11.212,0.716,6.313,0.14,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
69,0.687,4.511,0.507,7.195,0.702,3.556,0.583,8.812,0.595,8.64,0.628,8.656,0.286,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
70,0.743,7.815,0.448,4.83,0.306,3.002,0.436,8.603,0.514,7.718,0.534,11.515,0.326,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
71,0.589,6.648,0.377,5.942,0.61,2.199,0.391,6.883,0.591,12.056,0.348,5.655,0.178,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
72,0.502,6.822,0.308,5.892,0.712,5.125,0.426,13.442,0.362,5.687,0.424,10.072,0.375,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
73,0.399,4.417,0.493,4.02,0.46,2.983,0.462,14.926,0.691,10.822,0.577,8.573,0.387,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
74,0.31,6.897,0.686,7.007,0.363,3.652,0.416,9.583,0.323,6.695,0.394,11.166,0.265,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
75,0.597,6.07,0.633,6.298,0.672,3.18,0.713,5.961,0.506,4.611,0.494,10.361,0.356,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
76,0.355,5.348,0.44,6.509,0.423,5.547,0.342,12.169,0.696,9.783,0.734,6.13,0.301,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
77,0.34,5.11,0.396,7.156,0.72,4.722,0.336,13.973,0.508,15.139,0.435,8.464,0.134,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
78,0.431,4.055,0.464,4.592,0.581,5.108,0.349,8.305,0.616,14.569,0.646,6.399,0.147,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
79,0.682,6.192,0.572,7.103,0.451,5.392,0.707,13.925,0.303,10.664,0.692,6.86,0.173,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
80,0.74,6.004,0.595,6.26,0.544,2.893,0.331,9.384,0.354,11.077,0.474,10.083,0.319,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
81,0.511,4.671,0.637,6.381,0.572,4.507,0.403,7.023,0.467,7.053,0.632,4.837,0.279,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
82,0.663,4.445,0.487,7.66,0.52,2.017,0.697,11.832,0.335,11.921,0.432,4.526,0.108,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
83,0.472,4.153,0.576,5.091,0.419,5.885,0.334,6.824,0.654,9.29,0.681,9.704,0.143,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
84,0.476,7.562,0.7,7.48,0.509,5.237,0.671,6.154,0.329,15.618,0.303,5.176,0.237,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
85,0.463,6.843,0.582,4.297,0.498,4.385,0.557,15.386,0.341,5.002,0.65,11.378,0.115,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
