HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
68.91111111,1272.557143,-108.55,4658.166667,2210.1,0,2290.4,
68.91111111,1272.557143,-107.24,4658.166667,2210.1,0,2295.2,
68.91111111,1272.557143,-107.24,4658.166667,2210.1,0,2230.6,
68.91111111,1272.557143,-107.24,4658.166667,2210.1,0,2251.5,
68.91111111,1272.557143,-107.24,4658.166667,2210.1,0,2159.9,
76.7,1272.557143,-118.6,4913.0625,2331,0,2257.9,
79.925,1525.5625,-125.81,4913.0625,2331,0,2335.2,
79.925,1525.5625,-127.5,4913.0625,2331,0,2363.3,
79.925,1525.5625,-134.47,4940.271429,2343.957143,0,2405.3,
76.7,1630.566667,-139.66,4940.271429,2343.957143,0,2481.2,
76.7,1630.566667,-151.54,4913.0625,2331,0,2564.4,
68.91111111,1525.5625,-138.67,4658.166667,2210.1,0,2612.3,
68.91111111,1525.5625,-136.64,4658.166667,2210.1,0,2486.8,
68.91111111,1525.5625,-139.19,4913.0625,2331,0,2513.4,
68.91111111,1630.566667,-138.03,4913.0625,2331,0,2534.6,
76.7,1630.566667,-140.84,4913.0625,2331,0,2577.6,
76.7,1630.566667,-143.31,4940.271429,2343.957143,0,2621.2,
79.925,1630.566667,-141.08,4940.271429,2343.957143,0,2621.2,
79.925,1630.566667,-136,4940.271429,2343.957143,0,2621.2,
79.925,1630.566667,-140.28,4940.271429,2343.957143,0,2621.2,
79.925,1630.566667,-137.24,4940.271429,2343.957143,0,2621.2,
79.925,1525.5625,-130.77,4913.0625,2331,0,2561.5,
76.7,1525.5625,-121.47,4658.166667,2210.1,0,2459.8,
76.7,1272.557143,-113.55,4658.166667,2210.1,0,2379.7,
69.2,1287.857143,-109.88,4693.344444,2226.766667,0,2283.7,
69.2,1287.857143,-108.62,4693.344444,2226.766667,0,2288.6,
69.2,1287.857143,-108.62,4693.344444,2226.766667,0,2224.1,
69.2,1287.857143,-108.62,4693.344444,2226.766667,0,2245,
69.2,1287.857143,-108.62,4693.344444,2226.766667,0,2169.9,
77,1287.857143,-119.77,4951.325,2349.175,0,2251.3,
80.2125,1536.7625,-126.87,4951.325,2349.175,0,2328.5,
80.2125,1536.7625,-128.53,4951.325,2349.175,0,2356.5,
80.2125,1536.7625,-135.4,4978.985714,2362.3,0,2398.4,
77,1640.244444,-140.51,4978.985714,2362.3,0,2474.2,
77,1640.244444,-152.32,4951.325,2349.175,0,2557.3,
69.2,1536.7625,-139.53,4693.344444,2226.766667,0,2605,
69.2,1536.7625,-137.53,4693.344444,2226.766667,0,2479.8,
69.2,1536.7625,-140.04,4951.325,2349.175,0,2506.3,
69.2,1640.244444,-138.89,4951.325,2349.175,0,2527.5,
77,1640.244444,-141.67,4951.325,2349.175,0,2570.4,
77,1640.244444,-144.1,4978.985714,2362.3,0,2621.2,
80.2125,1640.244444,-141.9,4978.985714,2362.3,0,2621.2,
80.2125,1640.244444,-136.9,4978.985714,2362.3,0,2620.3,
80.2125,1640.244444,-141.12,4978.985714,2362.3,0,2620.6,
80.2125,1640.244444,-138.12,4978.985714,2362.3,0,2621.2,
80.2125,1536.7625,-131.75,4951.325,2349.175,0,2554.3,
77,1536.7625,-122.6,4693.344444,2226.766667,0,2452.8,
77,1287.857143,-114.8,4693.344444,2226.766667,0,2372.9,
69.13333333,1297.114286,-110.7,4675.822222,2218.477778,0,2271.8,
69.13333333,1297.114286,-109.51,4675.822222,2218.477778,0,2276.3,
69.13333333,1297.114286,-109.51,4675.822222,2218.477778,0,2215.4,
69.13333333,1297.114286,-109.51,4675.822222,2218.477778,0,2235.1,
69.13333333,1297.114286,-109.51,4675.822222,2218.477778,0,2164.1,
76.9,1297.114286,-120.31,4923.5,2335.975,0,2241.1,
80.125,1538.6625,-127.21,4923.5,2335.975,0,2314,
80.125,1538.6625,-128.82,4923.5,2335.975,0,2340.5,
80.125,1538.6625,-135.49,4949.742857,2348.414286,0,2380.1,
76.9,1639.477778,-140.45,4949.742857,2348.414286,0,2451.6,
76.9,1639.477778,-152.14,4923.5,2335.975,0,2530.1,
69.13333333,1538.6625,-139.51,4675.822222,2218.477778,0,2575.1,
69.13333333,1538.6625,-137.56,4675.822222,2218.477778,0,2456.9,
69.13333333,1538.6625,-140,4923.5,2335.975,0,2482,
69.13333333,1639.477778,-138.88,4923.5,2335.975,0,2501.9,
76.9,1639.477778,-141.58,4923.5,2335.975,0,2542.5,
76.9,1639.477778,-143.94,4949.742857,2348.414286,0,2590.4,
80.125,1639.477778,-141.8,4949.742857,2348.414286,0,2590.4,
80.125,1639.477778,-136.95,4949.742857,2348.414286,0,2589.6,
80.125,1639.477778,-141.04,4949.742857,2348.414286,0,2589.9,
80.125,1639.477778,-138.13,4949.742857,2348.414286,0,2590.4,
80.125,1538.6625,-131.95,4923.5,2335.975,0,2527.3,
76.9,1538.6625,-123.05,4675.822222,2218.477778,0,2431.4,
76.9,1297.114286,-115.49,4675.822222,2218.477778,0,2355.9,
68.55555556,1294.571429,-110.5,4626.766667,2195.188889,0,2221.4,
68.55555556,1294.571429,-109.41,4626.766667,2195.188889,0,2225.8,
68.55555556,1294.571429,-109.41,4626.766667,2195.188889,0,2168.3,
68.55555556,1294.571429,-109.41,4626.766667,2195.188889,0,2186.9,
68.55555556,1294.571429,-109.41,4626.766667,2195.188889,0,2119.4,
76.35714286,1294.571429,-119.74,4863.3125,2307.425,0,2192.6,
79.5375,1526.3375,-126.37,4863.3125,2307.425,0,2261.3,
79.5375,1526.3375,-127.92,4863.3125,2307.425,0,2286.2,
79.5375,1526.3375,-134.33,4888,2319.142857,0,2323.6,
76.35714286,1623.633333,-139.09,4888,2319.142857,0,2391.1,
76.35714286,1623.633333,-150.63,4863.3125,2307.425,0,2465,
68.55555556,1526.3375,-138.19,4626.766667,2195.188889,0,2507.5,
68.55555556,1526.3375,-136.31,4626.766667,2195.188889,0,2396,
68.55555556,1526.3375,-138.66,4863.3125,2307.425,0,2419.7,
68.55555556,1623.633333,-137.59,4863.3125,2307.425,0,2438.5,
76.35714286,1623.633333,-140.18,4863.3125,2307.425,0,2476.8,
76.35714286,1623.633333,-142.45,4888,2319.142857,0,2521.7,
79.5375,1623.633333,-140.4,4888,2319.142857,0,2521.7,
79.5375,1623.633333,-135.73,4888,2319.142857,0,2521.1,
79.5375,1623.633333,-139.66,4888,2319.142857,0,2521.5,
79.5375,1623.633333,-136.86,4888,2319.142857,0,2521.7,
79.5375,1526.3375,-130.92,4863.3125,2307.425,0,2462.4,
76.35714286,1526.3375,-122.37,4626.766667,2195.188889,0,2372,
76.35714286,1294.571429,-115.1,4626.766667,2195.188889,0,2300.8,
68.15555556,1271.085714,-108.47,4574.688889,2170.477778,0,2167.2,
68.15555556,1271.085714,-107.34,4574.688889,2170.477778,0,2171.7,
68.15555556,1271.085714,-107.34,4574.688889,2170.477778,0,2111.3,
68.15555556,1271.085714,-107.34,4574.688889,2170.477778,0,2130.8,
68.15555556,1271.085714,-107.34,4574.688889,2170.477778,0,2060.2,
76,1271.085714,-117.84,4806.9125,2280.6625,0,2136.8,
79.1125,1506.4125,-124.56,4806.9125,2280.6625,0,2209.1,
79.1125,1506.4125,-126.14,4806.9125,2280.6625,0,2235.4,
79.1125,1506.4125,-132.64,4831,2292.1,0,2274.7,
76,1604.988889,-137.48,4831,2292.1,0,2345.6,
76,1604.988889,-149.07,4806.9125,2280.6625,0,2423.5,
68.15555556,1506.4125,-136.56,4574.688889,2170.477778,0,2468.2,
68.15555556,1506.4125,-134.66,4574.688889,2170.477778,0,2350.9,
68.15555556,1506.4125,-137.04,4806.9125,2280.6625,0,2375.8,
68.15555556,1604.988889,-135.95,4806.9125,2280.6625,0,2395.6,
76,1604.988889,-138.58,4806.9125,2280.6625,0,2435.8,
76,1604.988889,-140.88,4831,2292.1,0,2483.3,
79.1125,1604.988889,-138.8,4831,2292.1,0,2483.3,
79.1125,1604.988889,-134.06,4831,2292.1,0,2482.5,
79.1125,1604.988889,-138.06,4831,2292.1,0,2482.9,
79.1125,1604.988889,-135.22,4831,2292.1,0,2483.3,
79.1125,1506.4125,-129.19,4806.9125,2280.6625,0,2420.7,
76,1506.4125,-120.51,4574.688889,2170.477778,0,2325.6,
76,1271.085714,-113.13,4574.688889,2170.477778,0,2250.7,
68.61111111,1255.542857,-107.1,4561.455556,2164.2,0,2150.8,
68.61111111,1255.542857,-105.91,4561.455556,2164.2,0,2155.4,
68.61111111,1255.542857,-105.91,4561.455556,2164.2,0,2094.6,
68.61111111,1255.542857,-105.91,4561.455556,2164.2,0,2114.3,
68.61111111,1255.542857,-105.91,4561.455556,2164.2,0,2029.2,
76.41428571,1255.542857,-116.73,4799.5125,2277.15,0,2120.3,
79.5875,1497.4375,-123.64,4799.5125,2277.15,0,2193,
79.5875,1497.4375,-125.25,4799.5125,2277.15,0,2219.4,
79.5875,1497.4375,-131.93,4824.385714,2288.957143,0,2258.9,
76.41428571,1598.377778,-136.9,4824.385714,2288.957143,0,2330.2,
76.41428571,1598.377778,-148.6,4799.5125,2277.15,0,2408.4,
68.61111111,1497.4375,-135.95,4561.455556,2164.2,0,2453.4,
68.61111111,1497.4375,-134,4561.455556,2164.2,0,2335.5,
68.61111111,1497.4375,-136.45,4799.5125,2277.15,0,2360.5,
68.61111111,1598.377778,-135.33,4799.5125,2277.15,0,2380.4,
76.41428571,1598.377778,-138.03,4799.5125,2277.15,0,2420.8,
76.41428571,1598.377778,-140.39,4824.385714,2288.957143,0,2472.6,
79.5875,1598.377778,-138.26,4824.385714,2288.957143,0,2472.6,
79.5875,1598.377778,-133.39,4824.385714,2288.957143,0,2467.8,
79.5875,1598.377778,-137.49,4824.385714,2288.957143,0,2468.1,
79.5875,1598.377778,-134.58,4824.385714,2288.957143,0,2472.6,
79.5875,1497.4375,-128.38,4799.5125,2277.15,0,2405.7,
76.41428571,1497.4375,-119.47,4561.455556,2164.2,0,2310,
76.41428571,1255.542857,-111.9,4561.455556,2164.2,0,2234.8,
69.3,1246.914286,-106.35,4582.111111,2173.977778,0,2147.9,
69.3,1246.914286,-105.13,4582.111111,2173.977778,0,2152.4,
69.3,1246.914286,-105.13,4582.111111,2173.977778,0,2091.8,
69.3,1246.914286,-105.13,4582.111111,2173.977778,0,2111.4,
69.3,1246.914286,-105.13,4582.111111,2173.977778,0,2021.7,
77.01428571,1246.914286,-116.1,4825.175,2289.325,0,2117.4,
80.2125,1491.925,-123.09,4825.175,2289.325,0,2190,
80.2125,1491.925,-124.73,4825.175,2289.325,0,2216.3,
80.2125,1491.925,-131.48,4850.785714,2301.471429,0,2255.8,
77.01428571,1593.977778,-136.51,4850.785714,2301.471429,0,2327,
77.01428571,1593.977778,-148.26,4825.175,2289.325,0,2405.1,
69.3,1491.925,-135.56,4582.111111,2173.977778,0,2450,
69.3,1491.925,-133.58,4582.111111,2173.977778,0,2332.3,
69.3,1491.925,-136.06,4825.175,2289.325,0,2357.3,
69.3,1593.977778,-134.93,4825.175,2289.325,0,2377.1,
77.01428571,1593.977778,-137.66,4825.175,2289.325,0,2417.5,
77.01428571,1593.977778,-140.05,4850.785714,2301.471429,0,2469.4,
