Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,9018.678603,7056.966409,6943.509308,22900.01458,0,2251.4632
,,,,,2,8916.98205,6962.761521,6860.139493,22560.40162,0,2256.1816
,,,,,3,8900.774263,6974.440366,6860.139493,22122.94065,0,2192.6798
,,,,,4,8900.774263,6821.93594,6860.139493,22122.94065,0,2213.2245
,,,,,5,9254.457527,6987.540314,6860.139493,22122.94065,0,2123.1817
,,,,,6,10696.52869,7433.908424,7586.4832,22712.31578,0,2219.5157
,,,,,7,11611.82144,8066.037351,8047.860506,23519.87721,0,2295.5016
,,,,,8,11441.89006,7956.319662,8155.863018,23287.25367,0,2323.1239
,,,,,9,11843.20718,7899.260303,8601.921067,24212.69543,0,2364.4099
,,,,,10,12086.36757,7990.760608,8933.745144,25197.19252,0,2439.0196
,,,,,11,12719.94691,8389.477186,9693.741387,25587.22276,0,2520.8052
,,,,,12,12549.28625,8487.170654,8870.623455,25008.39971,0,2567.8909
,,,,,13,11591.70689,8079.075585,8740.381553,24634.32524,0,2444.5244
,,,,,14,11725.89854,7886.011225,8903.793987,25125.92165,0,2470.6722
,,,,,15,11704.52853,8096.411749,8829.055481,25183.98296,0,2491.5118
,,,,,16,11953.52592,8082.204393,9009.397486,25315.41193,0,2533.7808
,,,,,17,13251.68652,8261.15062,9167.11899,25223.47485,0,2576.6396
,,,,,18,12936.68696,8651.167262,9024.400868,24618.60285,0,2576.6396
,,,,,19,12103.68349,8651.167262,8699.587232,24336.75473,0,2576.6396
,,,,,20,12447.78499,8556.214571,8973.442446,24701.76547,0,2576.6396
,,,,,21,11961.61977,8419.403753,8778.60745,24858.44774,0,2576.6396
,,,,,22,11063.24027,8330.19232,8364.933143,26061.60782,0,2517.9545
,,,,,23,10145.86968,7773.473583,7769.876753,24820.46351,0,2417.9834
,,,,,24,9266.767328,7377.155531,7263.562891,23614.18815,0,2339.2451
,,,,,25,9059.146293,7033.047994,7028.634038,23071.19585,0,2244.8771
,,,,,26,8957.355411,6936.829369,6947.897181,22727.40349,0,2249.6938
,,,,,27,8943.860141,6948.757863,6947.897181,22283.57347,0,2186.2903
,,,,,28,8943.860141,6795.494466,6947.897181,22283.57347,0,2206.835
,,,,,29,9295.143912,6962.137838,6947.897181,22283.57347,0,2133.0117
,,,,,30,10738.55266,7418.047573,7661.536212,22881.18716,0,2213.0279
,,,,,31,11654.69438,8063.688975,8115.68638,23698.6867,0,2288.9155
,,,,,32,11484.60538,7951.625946,8221.997112,23463.20042,0,2316.4395
,,,,,33,11886.29474,7893.346878,8661.067987,24400.03096,0,2357.6272
,,,,,34,12129.68067,7986.803106,8987.694282,25396.64358,0,2432.1386
,,,,,35,12763.84768,8394.042704,9743.397424,25791.47365,0,2513.8259
,,,,,36,12593.02873,8493.824481,8925.561348,25205.52742,0,2560.715
,,,,,37,11634.56118,8077.005916,8797.35959,24826.84947,0,2437.6434
,,,,,38,11768.87729,7879.814585,8958.212288,25324.49563,0,2463.6929
,,,,,39,11747.48746,8094.71266,8884.644506,25383.27146,0,2484.5325
,,,,,40,11996.71581,8080.201606,9062.161585,25516.31783,0,2526.7032
,,,,,41,13292.06524,8262.973012,9217.412497,25423.24934,0,2576.6396
,,,,,42,12980.78877,8662.771966,9076.92995,24810.93361,0,2576.6396
,,,,,43,12147.01266,8662.771966,8757.204283,24525.61696,0,2575.7549
,,,,,44,12491.43332,8564.344291,9026.769755,24895.11965,0,2576.0498
,,,,,45,12004.81716,8424.608986,8834.986706,25053.7301,0,2576.6396
,,,,,46,11105.60437,8333.490556,8427.792305,26267.85422,0,2510.8769
,,,,,47,10187.38289,7764.871324,7842.05704,25015.27842,0,2411.1024
,,,,,48,9307.46513,7360.081523,7343.674214,23794.15825,0,2332.5607
,,,,,49,9048.264323,6878.044976,7081.246657,22999.82486,0,2233.1794
,,,,,50,8946.582941,6780.71226,7005.255481,22669.92839,0,2237.6029
,,,,,51,8933.19872,6792.778871,7005.255481,22247.27459,0,2177.7382
,,,,,52,8933.19872,6638.435931,7005.255481,22247.27459,0,2197.1033
,,,,,53,9284.00807,6806.313769,7005.255481,22247.27459,0,2127.3103
,,,,,54,10725.86409,7267.502369,7695.995432,22817.49621,0,2203.0013
,,,,,55,11641.02028,7920.619492,8137.119305,23601.9529,0,2274.662
,,,,,56,11471.11426,7807.258913,8240.380749,23375.98483,0,2300.7115
,,,,,57,11872.3715,7748.305046,8666.857847,24274.94924,0,2339.6383
