CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,MLT_Band,predicted_loss,predicted_loss_lo95_lat,predicted_loss_hi95_lat,sigma_latent_std,sigma_predictive_std,in_S_0p05,in_S_0p1,in_S_0p2,in_S_0p3
0.3878341106995951,0.6011791754510637,0.361032737670818,0.021114646106166493,0.02101285851878424,0.021216433693548746,0.016946308317681246,0.031277411098563,false,false,false,false
0.3422974345907783,0.7076674291235827,0.12285844420747528,0.014341389142097921,0.014241274483872902,0.01444150380032294,0.016667787389724915,0.031127386910880784,false,false,false,false
0.48600610876988515,0.40201876046808366,0.12642104797855402,0.014662662074296248,0.014569874728861593,0.014755449419730903,0.015447885190655538,0.030491576480960677,false,false,false,false
0.4184073412807761,0.7392066727685547,0.25664288536127416,0.0180135553602429,0.017906861845827952,0.018120248874657845,0.01776308130757317,0.03172737204639008,false,false,false,false
0.7051725285392973,0.5297083457765721,0.29122024046955886,0.017664125234733586,0.01755168513172581,0.017776565337741357,0.018719813504232505,0.03227275161903374,false,false,false,false
0.5687963075938459,0.7074959618511368,0.18835522202169935,0.015167984655194443,0.015090328076296112,0.015245641234092772,0.012928809521394453,0.029295958681550247,false,false,false,false
0.6018891893753389,0.7480480475154316,0.3737356799783062,0.01869518280694726,0.01849520743456472,0.0188951581793298,0.033293296397832475,0.042421016777825164,false,false,false,false
0.6926876491742039,0.6297654901635081,0.08375220250539991,0.011745368135993615,0.01164766915173683,0.011843067120250402,0.01626560911913738,0.030913898483484168,false,false,true,true
0.41561850206763673,0.3817455145286347,0.0571119309623239,0.012641354295917017,0.012505940450357968,0.012776768141476068,0.022544642587005788,0.03463177715345307,false,false,false,true
0.43497209908940243,0.3875578082608908,0.23651067878904247,0.01859598322338727,0.018523940637828726,0.018668025808945814,0.011994152708357327,0.02889565328249207,false,false,false,false
0.5985826666426601,0.5437235577773181,0.06498718298025234,0.011816073258775296,0.011680637989505634,0.011951508528044955,0.022548209355947476,0.03463409915950228,false,false,true,true
0.6252842853506057,0.636078579822937,0.3475062447666029,0.018569488864763544,0.01846483528955225,0.01867414243997484,0.01742345798430275,0.03153848391348834,false,false,false,false
0.3349364166906599,0.38443254498015345,0.3074020269635059,0.02106944750656817,0.020981941971439537,0.021156953041696805,0.014568532528673213,0.030055635402859295,false,false,false,false
0.6694555536499287,0.3781612029902444,0.20475190363247253,0.016766975570727535,0.016687017537243342,0.016846933604211724,0.013311971751624775,0.029467060785674834,false,false,false,false
0.5448545813408944,0.5771190239453463,0.08931099234195455,0.012651506782973991,0.012553397136925411,0.012749616429022571,0.01633397896183643,0.03094992646447346,false,false,false,true
0.4995818252058657,0.3154176233469758,0.1571377895439653,0.01604369850738249,0.015913061508275705,0.016174335506489272,0.021749359833497357,0.03411940404810066,false,false,false,false
0.6892272439952021,0.3927820506955442,0.13428963957550674,0.014387875599546459,0.014303986970295954,0.014471764228796966,0.013966364781670555,0.029768413203348394,false,false,false,false
0.37055942952480814,0.5560631269171011,0.09629503985716119,0.013632698546384856,0.013549603004338372,0.013715794088431342,0.013834326085914188,0.02970669381944085,false,false,false,false
0.7258911649605119,0.49544174733285096,0.3894145543390696,0.019520400847047693,0.019345528073612603,0.019695273620482782,0.02911404043668043,0.0392266035998436,false,false,false,false
0.3557722042097985,0.4133358896644809,0.22402812397375815,0.018466323207165552,0.018375321161312224,0.018557325253018883,0.01515065604982759,0.030342074058488107,false,false,false,false
0.31182086767960393,0.3980056677838783,0.07566373326174018,0.01353769852306052,0.013360579629917067,0.01371481741620397,0.029487990130107593,0.039504944517666674,false,false,false,true
0.51230682301865,0.519747039554374,0.2674894198175657,0.018388182439575622,0.01831858877617453,0.018457776102976713,0.011586439047060448,0.02872881217909725,false,false,false,false
0.30175856846829757,0.5776731380709403,0.11474521558419935,0.014476798675194311,0.014370071273259977,0.014583526077128647,0.01776872313843311,0.03173053106080778,false,false,false,false
0.5387886030774446,0.389714859443706,0.1464902320685892,0.015216264872366589,0.01512960086733194,0.015302928877401239,0.014428428722324716,0.029987974837020995,false,false,false,false
0.5640241507440038,0.5621152636653599,0.1425395873761604,0.014328369273714978,0.014246857266704691,0.014409881280725265,0.013570688115456333,0.02958483826823441,false,false,false,false
0.3986777462047303,0.4543915852821101,0.23300809887467783,0.018391280474852778,0.018316968149153758,0.018465592800551798,0.012372034896262036,0.029054540555736294,false,false,false,false
0.31052320257049476,0.4630904753915296,0.07820389861874522,0.013446538982739018,0.013328212335828853,0.01356486562964918,0.01969984643811927,0.03285092128260758,false,false,false,true
0.6485697906146167,0.5217688224542463,0.1537752888662463,0.014469999384358646,0.014389003776373574,0.014550994992343719,0.013484714399787207,0.029545500535181797,false,false,false,false
0.3259747115528933,0.33248483815629193,0.2322223202826013,0.019151377989733185,0.019041020510964086,0.01926173546850228,0.018373083678267343,0.032072874571500654,false,false,false,false
0.5099579665894691,0.67951617780707,0.16824045047445857,0.015078300183117063,0.014994989047659092,0.015161611318575031,0.013870219582520564,0.02972342629472478,false,false,false,false
0.7030159520709547,0.6153201087319797,0.08913364719361433,0.011919113288009524,0.011820223585484822,0.012018002990534227,0.016463848211020298,0.031018661759433075,false,false,true,true
0.38993973185396447,0.6891477438402978,0.3146756797408666,0.01975044197836347,0.019649091817074388,0.019851792139652553,0.01687348256719721,0.031238013595235335,false,false,false,false
