role,draw,CHP_Retrofitted_Min_Power_660-1000,CHP_Retrofitted_Time_660-1000,CHP_Retrofitted_Min_Power_300-660,CHP_Retrofitted_Time_300-660,CHP_Retrofitted_Min_Power_0-300,CHP_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,predicted_loss,predicted_loss_lo95_lat,predicted_loss_hi95_lat,sigma_latent_std,sigma_predictive_std,in_S_eps
surrogate_best,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.748,10.0,0.722,8.0,0.053,0.010433791733957167,0.010128691436541232,0.010738892031373105,0.050795227991897146,0.057194879719948806,true
medoid,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.678,10.0,0.653,8.0,0.065,0.011197779481422435,0.011073389549104659,0.011322169413740209,0.020709304531959526,0.033466018192011414,true
interior_1,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.705,10.0,0.689,8.0,0.064,0.010949934070874114,0.010784308897210453,0.011115559244537773,0.027574435451873377,0.0380978814361131,true
interior_2,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.734,10.0,0.68,8.0,0.074,0.011150649041854907,0.010985250094282247,0.011316047989427567,0.02753677175253485,0.03807063012325644,true
interior_3,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.71,10.0,0.582,8.0,0.062,0.011297065121454144,0.011157120484996803,0.011437009757911487,0.023298960293712742,0.03512749108886944,true
interior_4,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.633,10.0,0.531,8.0,0.054,0.011432086320796392,0.011268324577409908,0.011595848064182877,0.02726419856722354,0.03787394358848301,true
axis_min_CHP_NonRetrofitted_Min_Power_300-660,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.501,10.0,0.711,8.0,0.055,0.011470394360029914,0.011304587473530355,0.011636201246529473,0.027604688273672406,0.03811978350039814,true
axis_max_CHP_NonRetrofitted_Min_Power_300-660,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.749,10.0,0.698,8.0,0.068,0.010879001962058616,0.010655855967542935,0.011102147956574295,0.037150903368180596,0.04551141285988045,true
axis_min_CHP_NonRetrofitted_Min_Power_0-300,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.743,10.0,0.477,8.0,0.05,0.011341467720762416,0.011116783397574732,0.011566152043950098,0.03740701506745691,0.04572071582649978,true
axis_max_CHP_NonRetrofitted_Min_Power_0-300,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.614,10.0,0.748,8.0,0.068,0.011263606082386822,0.011098868901196613,0.01142834326357703,0.027426596264150428,0.037991015544037644,true
axis_min_MLT_Band,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.607,10.0,0.659,8.0,0.05,0.011038305264686445,0.010883873509013363,0.011192737020359524,0.025710877062532056,0.03677156889167549,true
axis_max_MLT_Band,1,0.525,10.0,0.525,10.0,0.525,8.0,0.525,10.0,0.742,10.0,0.744,8.0,0.095,0.011403520564884747,0.011184142402457777,0.011622898727311719,0.03652360837174129,0.04500081163626862,true
