Chinese_Name,Start_Year,Retired_Year,region,major_area,Retrofitted,Resource,technology,Captive_industry_use,captive,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Commit,Existing_Cap_MW,num_units,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Cap_MWh,CHP,Dummy,Dummy_tech
辽阳芳烃基地热电厂 北方亚泰能源辽阳国成热电厂,2018,,LN,Liaoyang,0,Liaoyang Guocheng power station Unit 2,cogen_conventional_steam_coal,both,1,1,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"林口海浪热电厂, Linkou Cogen power station 林口盛烨热电厂",2019,,HL,Mudanjiang,0,Linkou Shengye Cogen power station,cogen_conventional_steam_coal,,0,1,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国电吉林江南热电厂,2011,,JL,Jilin,1,Jilin Jiangnan power station Unit 1,cogen_conventional_steam_coal,,0,1,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,330,1,330,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 内蒙古源源能源集团吉源热电,2020,,IME,Tongliao,0,Jiyuan Cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36,1,36,1.78,117,13.7,10.33,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国电吉林江南热电厂,2010,,JL,Jilin,1,Jilin Jiangnan power station Unit 2,cogen_conventional_steam_coal,,0,1,22,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,330,1,330,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
安达鑫玛热电 鑫玛热电集团安达热电,2014,,HL,Suihua,0,Anda Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,11.31,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国能吉林热电厂“等容量替换”2×350MW热电联产项目, Jilin Longtan power station, Jilin power station, 吉林龙潭热电厂 国电吉林热电厂",2001,,JL,Jilin,0,Jilin cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,24,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,125,1,125,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
" 国能吉林白城热电厂扩建4×660MW常规＋1×660MW新一代煤电项目, 国电吉林龙华白城热电厂",2011,,JL,Baicheng,0,Longhua Baicheng power station Unit 2,cogen_conventional_steam_coal,,0,1,25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
Yingkou Coastal power station 华能营口热电公司,2009,,LN,Yingkou,0,Huaneng Yingkou cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,26,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
Yingkou Coastal power station 华能营口热电公司,2009,,LN,Yingkou,0,Huaneng Yingkou cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,27,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"Huaneng Yakeshi Huiliuhe power station, 华能蒙东公司汇流河发电厂35+5万千瓦热电联产项目 华能呼伦贝尔安泰热电公司汇流河发电厂",1993,,IME,Hulunbuir,0,Huiliuhe power station Unit 1,cogen_conventional_steam_coal,,0,1,28,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,55,1,55,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"Huaneng Yakeshi Huiliuhe power station, 华能蒙东公司汇流河发电厂35+5万千瓦热电联产项目 华能呼伦贝尔安泰热电公司汇流河发电厂",1993,,IME,Hulunbuir,0,Huiliuhe power station Unit 2,cogen_conventional_steam_coal,,0,1,29,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,55,1,55,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 大唐国际葫芦岛热电,2020,,LN,Huludao,0,Huludao power station Unit 1,cogen_conventional_steam_coal,,0,1,30,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 大唐国际葫芦岛热电,2020,,LN,Huludao,0,Huludao power station Unit 2,cogen_conventional_steam_coal,,0,1,31,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",2007,,JL,Baishan,0,Hunjiang power station Unit 1,cogen_conventional_steam_coal,,0,1,32,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",2008,,JL,Baishan,0,Hunjiang power station Unit 2,cogen_conventional_steam_coal,,0,1,33,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",1997,2021,JL,Baishan,0,Hunjiang power station Unit 3,cogen_conventional_steam_coal,,0,1,34,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,215,1,215,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
乌兰浩特热电 蒙能兴安热电厂,2015,,IME,Hinggan,0,Inner Mongolia Energy Hinggan power station Unit 1,cogen_conventional_steam_coal,,0,1,35,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,340,1,340,1.78,117,13.7,9.57,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
乌兰浩特热电 蒙能兴安热电厂,2016,,IME,Hinggan,0,Inner Mongolia Energy Hinggan power station Unit 2,cogen_conventional_steam_coal,,0,1,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,340,1,340,1.78,117,13.7,9.57,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 加格达奇热电厂,2021,,HL,Jiagedaqi,0,Jiagedaqi Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,135,1,135,1.78,117,13.7,10.33,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 加格达奇热电厂,2021,,HL,Jiagedaqi,0,Jiagedaqi Cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,135,1,135,1.78,117,13.7,10.33,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 佳木斯中恒热电厂,2012,,HL,Jiamusi,0,Jiamusi Zhongheng Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,75,1,75,1.78,117,13.7,11.19,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 佳木斯中恒热电厂,2017,,HL,Jiamusi,0,Jiamusi Zhongheng Cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.33,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"华电佳木斯热电厂 (Unit 4, Unit 5), 大唐佳木斯第二发电厂 (Unit 1, Unit 2, Unit 3) 佳木斯第二发电厂",2008,,HL,Jiamusi,0,Jiamusi-2 power station Unit 1,cogen_conventional_steam_coal,,0,1,41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"华电佳木斯热电厂 (Unit 4, Unit 5), 大唐佳木斯第二发电厂 (Unit 1, Unit 2, Unit 3) 佳木斯第二发电厂",2008,,HL,Jiamusi,0,Jiamusi-2 power station Unit 2,cogen_conventional_steam_coal,,0,1,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国能吉林热电厂“等容量替换”2×350MW热电联产项目, Jilin Longtan power station, Jilin power station, 吉林龙潭热电厂 国电吉林热电厂",1988,,JL,Jilin,0,Jilin cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,43,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,220,1,220,1.78,117,13.7,12.62,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国能吉林热电厂“等容量替换”2×350MW热电联产项目, Jilin Longtan power station, Jilin power station, 吉林龙潭热电厂 国电吉林热电厂",1989,,JL,Jilin,0,Jilin cogen power station Unit 3,cogen_conventional_steam_coal,,0,1,44,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,220,1,220,1.78,117,13.7,12.62,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国能吉林热电厂“等容量替换”2×350MW热电联产项目, Jilin Longtan power station, Jilin power station, 吉林龙潭热电厂 国电吉林热电厂",2000,,JL,Jilin,0,Jilin cogen power station Unit 4,cogen_conventional_steam_coal,,0,1,45,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,125,1,125,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
