HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
849.5658505,2053.948889,-2653.46875,5778.601429,2239.138571,3014.56,3000,
849.5658505,2053.948889,-2653.46875,5778.601429,2239.138571,2974.92,3000,
849.5658505,1911.35625,-2653.46875,5735.6125,2222.48,2944.9,3000,
811.8034411,1911.35625,-2599.075714,5417.752222,2099.315556,2817.29,2853.675,
811.8034411,1527.791429,-2599.075714,5417.752222,2099.315556,2822.12,2479.165,
728.2896251,1535.477143,-2352.485556,5438.991111,2107.543333,2811.35,2092.2375,
728.2896251,1535.477143,-2352.485556,5438.991111,2107.543333,2735.54,1979.8775,
728.2896251,1535.477143,-2352.485556,5438.991111,2107.543333,2624.31,1854.6675,
728.2896251,1535.477143,-2352.485556,5438.991111,2107.543333,2565.11,1816.2775,
728.2896251,1535.477143,-2352.485556,5438.991111,2107.543333,2540.37,1757.5475,
815.1839427,1535.477143,-2613.578571,5756.85375,2230.71125,2585.61,1807.7375,
852.9685116,1922.05375,-2668.43875,5756.85375,2230.71125,2716.29,2112.2575,
852.9685116,1922.05375,-2668.43875,5756.85375,2230.71125,2700.53,2211.2875,
852.9685116,1922.05375,-2668.43875,5798.397143,2246.808571,2958.62,2486.0675,
815.1839427,2065.731111,-2613.578571,5798.397143,2246.808571,3130.88,2801.1475,
815.1839427,2065.731111,-2613.578571,5756.85375,2230.71125,3220.24,3000,
728.2896251,1922.05375,-2352.485556,5438.991111,2107.543333,3281.37,3000,
728.2896251,1922.05375,-2352.485556,5438.991111,2107.543333,3227.67,3000,
728.2896251,1922.05375,-2352.485556,5756.85375,2230.71125,3255.07,3000,
728.2896251,2065.731111,-2352.485556,5756.85375,2230.71125,3312.94,3000,
815.1839427,2065.731111,-2613.578571,5756.85375,2230.71125,3304.7,3000,
815.1839427,2065.731111,-2613.578571,5798.397143,2246.808571,3240,3000,
852.9685116,2065.731111,-2668.43875,5798.397143,2246.808571,3169.07,3000,
852.9685116,2065.731111,-2668.43875,5798.397143,2246.808571,3049.04,3000,
852.9685116,2065.731111,-2668.43875,5798.397143,2246.808571,3018.71,3000,
852.9685116,2065.731111,-2668.43875,5798.397143,2246.808571,2978.69,3000,
852.9685116,1922.05375,-2668.43875,5756.85375,2230.71125,2948.4,3000,
