Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,116,15565.95902,12105.71971,11825.13986,33430.02177,2939.26968,2949
,,,,,117,14960.1653,11908.12441,11565.4733,33639.6441,2900.5938,2949
,,,,,118,13840.72557,11779.27671,11014.1484,35345.57179,2871.30744,2949
,,,,,119,12697.62171,10975.21014,10221.08634,33588.8257,2746.78452,2839.633058
,,,,,120,11602.20257,10402.80962,9546.295975,31974.97199,2751.49872,2463.930458
,,,,,121,11347.72271,9906.005026,9231.315454,31251.71305,2735.07192,2054.550278
,,,,,122,11231.62328,9767.115143,9110.847779,30791.68141,2657.75904,1949.988568
,,,,,123,11231.62328,9784.333714,9110.847779,30222.4547,2544.3072,1833.463748
,,,,,124,11231.62328,9713.931878,9110.847779,30222.4547,2483.92656,1797.731698
,,,,,125,11641.25993,9803.64747,9110.847779,30222.4547,2479.5234,1747.873938
,,,,,126,13436.59235,10461.74511,10075.03883,30997.46072,2504.844,1789.789058
,,,,,127,14576.10252,11393.71705,10680.46748,32091.36418,2638.11492,2073.178128
,,,,,128,14364.5434,11231.95605,10822.19057,31776.25788,2622.04776,2165.354038
,,,,,129,14864.17036,11147.83125,11407.51699,33029.83923,2885.2848,2421.081488
,,,,,130,15166.89726,11282.73366,11842.94327,34363.41552,3060.9738,2714.310388
,,,,,131,15955.68326,11870.57681,12776.74045,34891.74118,3152.10852,2949
,,,,,132,15743.2162,12014.61004,11760.11371,34107.68127,3214.4526,2949
,,,,,133,14551.06056,11412.93982,11589.20764,33600.96891,3159.6804,2949
,,,,,134,14718.12486,11128.29762,11803.64075,34266.8737,3187.63512,2949
,,,,,135,14691.51988,11438.49919,11705.56737,34345.52216,3271.82004,2949
,,,,,136,15001.51366,11417.55274,11942.2158,34523.55271,3238.24716,2949
,,,,,137,16693.59318,11681.38003,12149.18116,34399.01693,3172.25808,2949
,,,,,138,16225.51768,12385.27585,11961.90355,33579.67175,3099.92184,2949
,,,,,139,15188.45503,12302.42973,11535.67651,33197.88699,2977.49844,2949
,,,,,140,15616.85038,12116.40414,11895.03487,33692.32185,2946.55968,2949
,,,,,141,15011.59024,11914.6987,11639.36844,33904.55991,2905.7454,2949
,,,,,142,13893.13653,11783.17086,11096.53663,35625.36118,2874.84552,2949
,,,,,143,12751.03952,10962.37906,10315.69157,33853.10738,2743.46028,2792.537528
,,,,,144,11656.58523,10378.07214,9651.296253,32219.11553,2748.43692,2435.276008
,,,,,145,11334.09334,9711.044821,9300.273741,31154.89271,2733.12792,2038.39795
,,,,,146,11218.22704,9573.436512,9186.026134,30713.71194,2658.64356,1937.02116
,,,,,147,11218.22704,9590.496202,9186.026134,30173.21243,2549.35188,1824.04497
,,,,,148,11218.22704,9491.850472,9186.026134,30173.21243,2491.30404,1789.40405
,,,,,149,11627.30914,9609.631745,9186.026134,30173.21243,2491.30404,1741.07977
,,,,,150,13420.67573,10261.65695,10120.20383,30911.05897,2511.33696,1781.69733
,,,,,151,14558.93816,11185.02934,10708.55918,31960.13721,2639.72844,2056.45566
,,,,,152,14347.6107,11024.76095,10846.28563,31657.94311,2624.24448,2145.82019
,,,,,153,14846.69058,10941.41239,11415.10564,32860.15608,2877.83928,2393.75245
,,,,,154,15149.08601,11075.07002,11838.25275,34139.08602,3047.09364,2678.04588
,,,,,155,15937.0083,11657.48899,12761.90797,34645.76232,3134.8944,2919.19544
,,,,,156,15724.77389,11800.19319,11757.75901,33893.83107,3194.95428,2949
,,,,,157,14533.92362,11204.07474,11591.67256,33407.88242,3142.19412,2936.14236
,,,,,158,14700.805,10922.059,11800.05858,34046.50022,3169.11852,2942.23696
,,,,,159,14674.22915,11229.39826,11704.7509,34121.92588,3255.63624,2949
,,,,,160,14983.8835,11208.64509,11934.72576,34292.66121,3217.87404,2949
,,,,,161,16674.50246,11470.03798,12135.85463,34173.22858,3154.30524,2949
,,,,,162,16206.54726,12189.70091,11953.85831,33387.45795,3084.61284,2949
,,,,,163,15170.62017,12085.35709,11539.65102,33021.3177,2966.68008,2949
,,,,,164,15598.54644,11901.04801,11888.87535,33495.49195,2936.86884,2949
,,,,,165,14993.94905,11701.20376,11640.4188,33699.03307,2897.56116,2949
,,,,,166,13876.72,11570.88956,11112.89503,35370.3817,2867.7888,2937.61686
,,,,,167,12735.87355,10757.67141,10354.07007,33649.68893,2741.21496,2753.89416
,,,,,168,11642.61766,10178.75605,9708.410937,32082.65365,2746.00692,2407.52428
,,,,,169,11225.29038,9555.512934,9283.428205,30845.50147,2727.8694,2017.119072
,,,,,170,11098.64329,9420.108958,9177.361592,30424.6664,2658.13812,1916.990692
,,,,,171,11096.13209,9436.895371,9177.361592,29915.17214,2555.81568,1805.410362
,,,,,172,11096.13209,9333.755095,9177.361592,29915.17214,2501.36424,1771.201962
,,,,,173,11518.91601,9455.724383,9177.361592,29915.17214,2494.94904,1720.715082
,,,,,174,13314.78922,10097.30486,10072.06397,30612.91248,2520.22104,1763.593542
,,,,,175,14454.64263,11005.88584,10637.96353,31613.61092,2640.42828,2034.960522
,,,,,176,14243.01978,10848.18477,10770.43336,31325.35295,2625.92604,2123.214262
,,,,,177,14742.79724,10766.17136,11317.54319,32472.12407,2863.33704,2368.089392
,,,,,178,15045.61533,10897.68795,11724.54001,33692.07425,3021.79248,2648.873512
,,,,,179,15834.63892,11470.77721,12634.85593,34175.38441,3103.99452,2887.054412
,,,,,180,15622.10786,11611.19544,11647.11849,33458.1296,3160.215,2949
,,,,,181,14429.59312,11024.62615,11487.37106,32994.59119,3110.82768,2903.785072
,,,,,182,14596.70775,10747.128,11687.8036,33603.75818,3136.03164,2909.810862
,,,,,183,14570.09476,11049.54402,11596.13354,33675.70548,3209.0094,2949
,,,,,184,14880.18192,11029.12329,11817.33094,33838.56709,3181.67676,2949
,,,,,185,16597.44547,11286.32896,12010.7833,33724.64227,3122.1612,2949
,,,,,186,16104.55462,11998.60747,11835.73325,32975.10863,3056.92056,2949
,,,,,187,15067.17959,11891.79133,11437.33503,32625.85349,2946.51108,2949
,,,,,188,15495.70398,11710.43468,11773.2305,33078.16048,2918.60496,2949
,,,,,189,14890.26153,11513.79171,11534.25681,33272.315,2881.80504,2949
,,,,,190,13771.47091,11385.565,11026.86707,34890.28944,2853.92808,2905.239912
,,,,,191,12629.02989,10585.37372,10297.00423,33225.24643,2735.43156,2723.787942
,,,,,192,11534.24593,10015.73194,9675.988004,31730.47733,2739.9222,2381.684282
,,,,,193,11165.94457,9460.901171,9112.817636,30500.87401,2709.04176,1994.741828
,,,,,194,11039.96543,9326.838116,9003.775233,30087.89827,2638.89252,1896.599108
,,,,,195,11011.8997,9343.458291,9003.775233,29590.38099,2535.96744,1787.230528
,,,,,196,11011.8997,9177.591199,9003.775233,29590.38099,2481.18552,1753.700398
,,,,,197,11458.02159,9362.100838,9003.775233,29590.38099,2456.74944,1702.702358
,,,,,198,13244.4232,9997.327669,9912.836531,30272.62874,2500.15896,1746.239428
,,,,,199,14378.2649,10896.91088,10486.90426,31254.6386,2621.07576,2012.229398
,,,,,200,14167.75818,10740.77154,10621.28616,30971.764,2606.49576,2098.733398
,,,,,201,14664.89976,10659.57032,11176.29294,32097.11855,2845.31616,2338.752508
,,,,,202,14966.12076,10789.78448,11589.16434,33294.28549,3004.71444,2613.963018
,,,,,203,15750.98296,11357.19837,12504.33235,33768.56958,3087.40248,2847.425518
,,,,,204,15539.57282,11496.22603,11510.62531,33064.70989,3143.96316,2949
,,,,,205,14353.34751,10915.4656,11348.5721,32609.82831,3094.27452,2863.831788
,,,,,206,14519.58076,10640.71554,11551.89767,33207.61878,3119.634,2869.729788
,,,,,207,14493.10813,10940.13671,11458.90445,33278.22242,3171.31524,2934.627448
,,,,,208,14801.55986,10919.91821,11683.2946,33438.04251,3165.55128,2949
,,,,,209,16547.32575,11174.57673,11879.53925,33326.24529,3105.6858,2949
,,,,,210,16019.4751,11929.31738,11701.96253,32590.7096,3040.04664,2949
,,,,,211,14987.57129,11774.04314,11297.81385,32247.97698,2928.98592,2949
,,,,,212,15413.8356,11594.48249,11638.55762,32691.8369,2900.91456,2938.451318
,,,,,213,14811.58631,11399.7869,11396.13459,32882.36548,2863.89108,2949
,,,,,214,13698.6963,11272.83003,10881.42121,34479.72206,2835.84888,2865.257138
,,,,,215,12562.28062,10480.56313,10141.02357,32836.17594,2716.65252,2687.393118
,,,,,216,11473.27066,9916.562579,9511.043624,31369.32246,2721.1626,2352.081988
,,,,,217,11233.06824,9504.423104,8998.647066,30398.61748,2694.46176,1970.263763
,,,,,218,11106.3336,9369.743218,8884.067922,29975.02698,2624.57496,1873.025403
,,,,,219,11106.1087,9386.439863,8884.067922,29461.33366,2522.01924,1764.669313
,,,,,220,11106.1087,9184.516397,8884.067922,29461.33366,2467.43172,1731.453743
,,,,,221,11526.89683,9405.168185,8884.067922,29461.33366,2431.61352,1679.492363
,,,,,222,13324.01139,10043.31773,9819.84536,30164.5056,2486.33712,1724.061582
,,,,,223,14464.65269,10947.03996,10409.11074,31171.75615,2606.81652,1987.584223
,,,,,224,14252.88356,10790.18222,10547.05022,30881.6108,2592.28512,2073.291993
,,,,,225,14753.00648,10708.60739,11116.75003,32035.89044,2830.25016,2311.089523
,,,,,226,15056.03389,10839.42067,11540.55164,33263.82827,2989.07496,2583.754063
,,,,,227,15845.60287,11409.44527,12464.74743,33750.30292,3071.46168,2815.053963
,,,,,228,15632.9249,11549.11259,11459.9334,33028.35186,3127.81824,2949
,,,,,229,14439.58587,10965.68005,11293.59005,32561.77843,3078.30456,2831.302953
,,,,,230,14606.81601,10689.66586,11502.29839,33174.93395,3103.57656,2837.151803
,,,,,231,14580.18462,10990.46468,11406.8433,33247.35233,3145.2462,2901.449833
,,,,,232,14890.48612,10970.15315,11637.17387,33411.28029,3145.2462,2947.247803
,,,,,233,16605.45372,11225.98337,11838.61382,33296.60954,3089.67696,2949
,,,,,234,16115.70514,12011.99475,11656.33601,32542.1683,3024.2808,2949
,,,,,235,15077.61305,11828.20796,11241.48805,32190.6264,2913.60888,2949
,,,,,236,15506.43364,11647.82114,11591.25254,32645.89489,2885.64444,2905.234383
,,,,,237,14900.5727,11452.22974,11342.41169,32841.32064,2848.75704,2926.762083
,,,,,238,13781.00875,11324.68874,10814.07199,34466.52358,2820.82176,2832.718472
,,,,,239,12637.77804,10528.77658,10054.07334,32793.94389,2702.04336,2656.505893
,,,,,240,11542.23735,9962.181033,9407.415539,31289.38774,2706.54372,2324.291213
,,,,,241,11382.87885,9578.683386,8935.857191,30528.09131,2682.97272,1945.939962
,,,,,242,11268.88671,9442.951019,8818.702297,30095.30403,2611.44324,1849.173442
,,,,,243,11268.88671,9459.778143,8818.702297,29567.59555,2506.48668,1741.338342
,,,,,244,11268.88671,9379.204547,8818.702297,29567.59555,2450.63556,1708.280052
,,,,,245,11673.51079,9478.652821,8818.702297,29567.59555,2422.73916,1654.903152
,,,,,246,13451.074,10121.7893,9766.908361,30288.89652,2469.97836,1700.927212
,,,,,247,14579.30592,11032.57385,10363.24385,31318.01597,2593.27656,1963.181782
,,,,,248,14369.8407,10874.49031,10502.83834,31021.57114,2578.40496,2048.476692
,,,,,249,14864.52263,10792.278,11079.37352,32200.9119,2821.92984,2285.133942
,,,,,250,15164.25331,10924.11354,11508.25996,33455.51009,2984.45796,2556.491092
,,,,,251,15945.23233,11498.59271,12436.65558,33952.54683,3068.77896,2786.680202
,,,,,252,15734.86815,11639.35149,11426.67445,33214.92114,3126.44772,2949
,,,,,253,14554.51181,11051.35961,11258.33529,32738.2177,3075.77736,2802.850552
,,,,,254,14719.92261,10773.18845,11469.54775,33364.68574,3101.64228,2808.669912
,,,,,255,14693.58095,11076.33791,11372.94737,33438.67643,3150.738,2872.653382
,,,,,256,15000.50658,11055.86766,11606.04149,33606.16351,3148.46352,2918.235092
,,,,,257,16679.38413,11313.69711,11809.89835,33489.00309,3087.4122,2948.737582
,,,,,258,16212.39608,12009.93766,11625.43353,32718.18181,3020.49,2935.585042
,,,,,259,15185.59771,11920.6279,11205.60816,32359.00741,2907.24228,2935.653852
,,,,,260,15609.75303,11738.83141,11559.56919,32824.16046,2878.61688,2876.418272
,,,,,261,15010.48343,11541.71153,11307.7427,33023.82919,2840.8644,2897.847672
,,,,,262,13903.09955,11413.17383,10773.06389,34673.15862,2812.27788,2804.256242
,,,,,263,12772.30639,10611.04187,10003.94664,32975.42382,2690.72928,2628.889042
,,,,,264,11688.68441,10040.01855,9349.530138,31438.20152,2695.33656,2298.276652
,,,,,265,11531.49003,9605.807296,8994.241903,30643.06316,2682.79776,1931.857846
,,,,,266,11424.80456,9482.158734,8890.165766,30225.12159,2611.41408,1837.106476
,,,,,267,11424.80456,9497.487795,8890.165766,29720.03678,2506.67136,1731.522446
,,,,,268,11424.80456,9432.59874,8890.165766,29720.03678,2450.92716,1699.152256
,,,,,269,11812.04851,9514.682123,8890.165766,29720.03678,2433.4992,1641.076616
,,,,,270,13528.00037,10100.56228,9775.263606,30412.07336,2470.2408,1691.946866
,,,,,271,14617.12712,10930.26268,10335.69956,31405.89139,2593.28628,1948.735956
,,,,,272,14414.92208,10786.2528,10466.89044,31119.61537,2578.44384,2032.251636
,,,,,273,14892.45806,10711.35958,11008.71806,32258.50175,2821.473,2263.974226
,,,,,274,15181.7999,10831.45824,11411.78545,33470.06403,2983.68036,2529.679126
,,,,,275,15935.70974,11354.79341,12318.85585,33950.05115,3067.8264,2755.061366
,,,,,276,15732.63691,11483.02091,11335.11141,33237.72789,3125.37852,2949
,,,,,277,14593.19239,10947.376,11176.9063,32777.37659,3074.81508,2770.897496
,,,,,278,14752.86995,10693.96951,11375.40372,33382.35519,3100.62168,2776.598896
,,,,,279,14727.44131,10970.13057,11284.6187,33453.80781,3162.19788,2839.245486
,,,,,280,15023.72873,10951.48272,11503.6805,33615.54965,3147.34572,2883.883516
,,,,,281,16656.83098,11186.35847,11695.26514,33502.40813,3086.43048,2913.747056
,,,,,282,16193.61344,11810.55956,11521.90514,32758.02799,3019.63464,2900.869756
,,,,,283,15202.40449,11739.2562,11127.35335,32411.17418,2906.61048,2900.928736
,,,,,284,15611.85835,11573.64446,11460.00584,32860.3713,2878.05312,2842.941566
,,,,,285,15033.35978,11394.07351,11223.33937,33053.19088,2840.36868,2863.918786
,,,,,286,13964.35845,11276.9791,10720.84835,34663.57464,2811.84048,2772.273696
,,,,,287,12872.75923,10546.2583,9998.032131,33006.44594,2690.5446,2600.563256
,,,,,288,11826.69621,10026.07131,9383.011645,31521.95428,2695.13244,2276.841696
,,,,,289,11531.29298,9526.37949,8991.574916,30523.22397,2690.53488,1921.742348
,,,,,290,11426.54495,9400.823068,8890.809109,30106.33702,2621.6298,1829.281368
,,,,,291,11426.54495,9416.388652,8890.809109,29602.85939,2520.53208,1726.243308
,,,,,292,11426.54495,9350.809525,8890.809109,29602.85939,2466.73188,1694.659518
,,,,,293,11809.18035,9433.848283,8890.809109,29602.85939,2450.98548,1636.652688
,,,,,294,13508.79525,10028.7684,9759.933788,30292.81704,2485.36512,1687.631068
,,,,,295,14587.55282,10871.27082,10311.28331,31284.12729,2604.1338,1938.217428
,,,,,296,14387.2729,10725.03891,10440.34716,30998.57365,2589.80652,2019.717958
,,,,,297,14860.26242,10648.99011,10973.39005,32134.58618,2824.389,2245.837448
,,,,,298,15146.84955,10770.94186,11369.92244,33343.09121,2980.95876,2505.123358
,,,,,299,15893.58168,11302.35193,12271.59527,33821.86713,3062.17908,2725.069608
,,,,,300,15692.44223,11432.55794,11294.49152,33111.34135,3117.72888,2949
,,,,,301,14563.84596,10888.6482,11138.85142,32652.15169,3068.92476,2740.522368
,,,,,302,14722.00329,10631.33171,11334.13057,33255.60369,3093.83712,2746.086148
,,,,,303,14696.81675,10911.75386,11244.81747,33326.87601,3154.56768,2807.218918
,,,,,304,14990.28332,10892.81827,11460.32759,33488.20971,3138.93792,2850.775648
,,,,,305,16611.24772,11131.31808,11648.80603,33375.35369,3080.13192,2879.921598
,,,,,306,16149.02997,11765.49511,11478.25675,32632.85191,3015.66888,2867.349028
,,,,,307,15167.25797,11692.74687,11090.10189,32286.87335,2906.5716,2867.417838
,,,,,308,15572.81356,11524.57978,11417.36103,32734.93697,2879.00568,2810.816698
,,,,,309,14999.82267,11342.23811,11184.53167,32927.27,2842.63344,2831.292588
,,,,,310,13940.99892,11223.33697,10690.18761,34534.88708,2815.09668,2741.869078
,,,,,311,12859.79243,10481.34137,9979.090532,32880.64301,2698.00956,2574.297068
,,,,,312,11823.6886,9953.128051,9374.041472,31399.8973,2702.4516,2258.400188
,,,,,313,11375.57887,9466.771432,8920.996349,30419.68114,2691.26388,1916.771787
,,,,,314,11265.47187,9332.625178,8821.103035,30022.22055,2623.78764,1826.837117
,,,,,315,11265.47187,9349.255667,8821.103035,29548.34714,2524.77972,1726.610437
,,,,,316,11265.47187,9243.313437,8821.103035,29548.34714,2472.0876,1695.881857
,,,,,317,11660.85451,9367.909784,8821.103035,29548.34714,2453.09472,1634.060987
,,,,,318,13405.65746,10003.53083,9686.017727,30200.01086,2490.34176,1689.050007
,,,,,319,14513.09621,10903.67231,10234.97237,31145.12742,2606.65128,1932.794687
,,,,,320,14307.49141,10747.43608,10363.47561,30872.88019,2592.62532,2012.063807
,,,,,321,14793.05641,10666.18446,10894.20314,31955.9561,2822.35752,2232.010057
,,,,,322,15087.26309,10796.47943,11289.01313,33108.14648,2975.6808,2484.208537
,,,,,323,15853.84877,11364.24546,12189.26333,33564.6121,3055.21956,2698.148657
,,,,,324,15647.36158,11503.3594,11213.90986,32887.19583,3109.6224,2949
,,,,,325,14488.75906,10922.23855,11058.9458,32449.40378,3061.82916,2713.178727
,,,,,326,14651.12135,10647.31799,11253.37672,33024.73575,3086.21664,2718.585227
,,,,,327,14625.26517,10946.92497,11164.45157,33092.68688,3141.38736,2778.056727
